,name
to the left of,238419
to the right of,238419
on,12711
wearing,7622
of,4877
near,4557
in,4379
behind,2614
in front of,2596
holding,1465
on top of,1389
above,1354
next to,1292
below,1049
with,1033
by,820
sitting on,739
under,535
on the side of,410
beside,363
standing on,355
inside,342
at,293
carrying,264
walking on,240
riding,239
standing in,226
hanging on,220
around,204
looking at,195
covered by,185
lying on,171
watching,162
eating,160
covering,150
hanging from,146
riding on,127
sitting in,117
using,113
on the front of,110
parked on,104
covered in,103
walking in,99
flying in,92
on the back of,89
contain,85
crossing,76
swinging,71
sitting at,68
filled with,68
covered with,66
reflected in,63
full of,63
leaning on,60
surrounded by,60
standing next to,58
pulling,50
pulled by,50
lying on top of,49
parked in,49
playing with,49
driving on,48
touching,48
standing by,47
growing on,47
sitting on top of,46
standing behind,46
attached to,45
flying,45
facing,44
playing,43
hitting,42
waiting for,41
walking down,41
cutting,41
lying in,40
throwing,40
beneath,39
leaning against,38
growing in,38
resting on,38
printed on,37
standing near,36
catching,36
surrounding,36
talking on,35
underneath,32
mounted on,31
floating in,29
grazing on,26
reading,25
playing in,25
grazing in,23
close to,23
worn on,23
stuck in,23
driving,23
painted on,22
reaching for,21
skiing on,21
swimming in,20
hanging over,20
standing in front of,20
driving down,20
feeding,19
walking with,19
standing beside,19
between,18
working on,18
sitting next to,18
parked along,17
hanging above,17
topped with,17
flying over,17
holding onto,17
sleeping on,16
parked next to,16
stacked on,16
parked near,16
selling,15
eating from,15
pushing,15
drinking,15
pushed by,15
running on,14
leaning over,13
connected to,13
standing at,13
standing on top of,13
coming out of,13
hanging in,13
on the edge of,13
seen through,13
hanging off,13
parked in front of,13
coming from,13
leading,12
talking to,12
on the bottom of,12
playing on,12
sitting behind,12
walking across,11
wrapped in,11
walking along,11
looking in,11
wrapped around,11
perched on,11
walking near,10
parked by,10
looking out,10
running in,10
tied to,10
chasing,10
hung on,10
preparing,10
serving,10
plugged into,10
floating on,10
followed by,9
sitting near,9
lying next to,9
following,9
going down,9
skiing in,8
walking next to,8
parked at,8
sewn on,8
growing next to,8
flying above,8
boarding,8
on the other side of,8
mounted to,7
standing against,7
balancing on,7
walking to,7
working in,7
riding in,7
walking behind,7
walking towards,7
drawn on,6
jumping over,6
growing behind,6
hang from,6
reflecting in,6
stuck on,6
chained to,6
draped over,6
sitting under,6
reflected on,6
walking by,6
exiting,6
pointing at,6
sitting by,6
tied around,6
decorated with,6
parked behind,6
traveling down,6
wading in,5
parked beside,5
guiding,5
getting on,5
typing on,5
traveling on,5
looking into,5
staring at,5
chewing,5
jumping on,5
entering,5
sitting in front of,5
about to hit,5
piled on,5
running through,5
sitting beside,5
opening,5
drinking from,5
grabbing,4
climbing,4
walking past,4
observing,4
parked alongside,4
sitting with,4
looking over,4
larger than,4
mixed with,4
tying,4
flying through,4
hanging out of,4
smoking,4
making,4
sniffing,4
growing near,4
walking through,4
picking up,4
looking through,4
tossing,4
displayed on,3
leaving,3
going into,3
licking,3
smelling,3
kept in,3
biting,3
going through,3
walking up,3
sitting inside,3
petting,3
helping,3
jumping off,3
standing under,3
skiing down,3
approaching,3
trying to catch,3
worn around,3
hugging,3
washing,3
running across,2
dragging,2
herding,2
smiling at,2
looking down at,2
walking toward,2
enclosing,2
lying inside,2
blowing out,2
in between,2
taller than,2
bigger than,2
sprinkled on,2
scattered on,2
eating in,2
cleaning,2
shorter than,2
growing from,2
falling off,2
pouring,2
standing around,1
jumping in,1
longer than,1
cooked in,1
sitting around,1
hidden by,1
kicking,1
growing along,1
sleeping in,1
higher than,1
posing with,1
brushing,1
skating on,1
splashing,1
walking into,1
coming down,1
adjusting,1
photographing,1
towing,1
moving,1
